mode,test_fold,param_id,report_id,iou_1,iou_2,iou_comb,failed
validate,0,0,0,0.0,0.0,0.0,True
test,0,0,1,0.0,0.0,0.0,True
test,0,0,2,0.0,0.0,0.0,True
test,0,0,3,0.0,0.0,0.0,True
validate,1,0,4,0.0,0.0,0.0,True
validate,1,0,5,0.0,0.0,0.0,True
validate,1,0,6,0.0,0.0,0.0,True
test,1,0,7,0.0,0.0,0.0,True
test,1,0,8,0.0,0.0,0.0,True
test,1,0,9,0.0,0.0,0.0,True
validate,2,0,10,0.0,0.0,0.0,True
validate,2,0,11,0.0,0.0,0.0,True
validate,2,0,12,0.0,0.0,0.0,True
test,2,0,13,0.0,0.0,0.0,True
test,2,0,14,0.0,0.0,0.0,True
test,2,0,15,0.0,0.0,0.0,True
validate,3,0,16,0.0,0.0,0.0,True
validate,3,0,17,0.0,0.0,0.0,True
validate,3,0,18,0.0,0.0,0.0,True
test,3,0,19,0.0,0.0,0.0,True
test,3,0,20,0.0,0.0,0.0,True
test,3,0,21,0.0,0.0,0.0,True
final,-1,0,22,0.0,0.0,0.0,True
