mode,test_fold,param_id,report_id,iou_1,iou_2,iou_comb,failed
validate,0,0,0,,,,False
test,0,0,1,0.5551986277103425,0.5834761083126068,0.5693373680114746,False
validate,1,0,2,,,,False
validate,1,0,3,,,,False
validate,1,0,4,,,,False
test,1,0,5,0.6177448242902756,0.6613693356513977,0.6395570799708367,False
validate,2,0,6,,,,False
validate,2,0,7,,,,False
validate,2,0,8,,,,False
test,2,0,9,0.7655929088592529,0.631773030757904,0.6986829698085785,False
validate,3,0,10,,,,False
validate,3,0,11,,,,False
validate,3,0,12,,,,False
test,3,0,13,0.6050461947917938,0.6374226391315461,0.6212344169616699,False
final,-1,0,14,0.6358956389129162,0.6285102784633636,0.6322029586881399,False
